,latitude,longitude
0,40.77669309194083,-73.98423982637193
1,40.75852517425269,-73.9833539429077
2,40.76537111584901,-73.9554098042637
3,40.732625812446564,-73.97914241788304
4,40.75152037221789,-73.98030557138964
5,40.75890814625178,-73.99140459598303
6,40.75794296856847,-73.96145727678687
7,40.725371035474716,-74.0028740969902
8,40.74324312276259,-73.98807884385839
9,40.74129073707332,-73.97721529189737
10,40.763530129980175,-73.96525753559588
11,40.76128889684903,-73.97881337386283
12,40.73393703653833,-74.01811909722284
13,40.772927230359535,-73.9884734569201
14,40.77769394011905,-73.99401969890049
15,40.777864376451966,-73.97312257290987
16,40.787180230109996,-73.98093490597103
17,40.75857969620536,-73.96334636829373
18,40.73951297574607,-73.97731391220191
19,40.75456459120653,-73.97271022490489
20,40.750538498172816,-73.96017870540199
21,40.7605271617624,-73.99695343173182
22,40.76928316316794,-73.93542230696342
23,40.77105010489533,-73.98042276236512
24,40.80156320187185,-73.93703322615967
25,40.72116221272242,-74.02316930702744
26,40.75927010489381,-74.00457681688086
27,40.76661199421739,-73.95974800636539
28,40.75748119904791,-73.98532491219147
29,40.76411594826561,-74.0139278266531
30,40.78480863010188,-73.97608213103446
31,40.725937255411914,-73.99919606774978
32,40.74814015867267,-73.99318343833828
33,40.785866864860466,-73.97964804455869
34,40.75636760746729,-73.97961918178787
35,40.73630046503361,-73.97147572325717
36,40.75752393494992,-73.96514182267086
37,40.7514887710732,-73.94714135174232
38,40.76823990166382,-73.96921493714841
39,40.739860652392274,-73.96924113646645
40,40.76751124724929,-73.96045768831151
41,40.760308650238976,-73.95117477444853
42,40.733975222654,-73.95807238214543
43,40.769016297948596,-73.96095503599453
44,40.77356399319315,-73.91529831564826
45,40.787355756000984,-73.92883264524443
46,40.79419209769734,-73.9663688016342
47,40.75214850569287,-73.99568299912754
48,40.769852272629315,-73.97165778756738
49,40.743482972586136,-73.9901327416195
50,40.73942342282954,-73.94901064632182
51,40.75445770299651,-73.98019576096004
52,40.75522526329848,-73.98591539706139
53,40.74347652638334,-73.97237078713344
54,40.76170848065724,-73.91899356008845
55,40.74220614859923,-73.99419227820131
56,40.77576614372349,-73.95328411877092
57,40.75214588725861,-73.92243978400722
58,40.72703040832927,-73.96727334248259
59,40.74750837624199,-73.96347916859803
60,40.77115771336255,-73.9749651309539
61,40.74424380818248,-73.97843945044002
62,40.72696285202546,-73.99417745820257
63,40.767257452096054,-73.9691885885633
64,40.75377283428454,-73.97230023161592
65,40.7511395258605,-73.9878485583909
66,40.7879410309597,-73.9286512998857
67,40.779642063254975,-73.99178763806496
68,40.71388295360271,-74.00609230615107
69,40.76295650045956,-73.9774147570448
70,40.78127044738499,-73.96849797095335
71,40.7722827318172,-73.94357416689942
72,40.73223316632077,-74.01729174192302
73,40.76313058098217,-73.98055663680371
74,40.77833283641989,-73.95417439620199
75,40.74331629921624,-73.96549685605808
76,40.751049669520874,-73.95568265560576
77,40.75578462640982,-73.9430613103779
78,40.73968803316237,-73.98259246115812
79,40.749894917476,-73.98675002477152
80,40.76736037435909,-73.99962643999226
81,40.78307561278206,-73.97668547764995
82,40.744607003335695,-74.00197777848977
83,40.763071013751926,-73.93758964040343
84,40.7667528182502,-73.97601396523895
85,40.74392342703671,-73.98228302434916
86,40.724927025334935,-73.99930671423813
87,40.765584992505836,-73.96071067869187
88,40.72249852039409,-73.98028088617156
89,40.79197925248351,-73.92840268771013
90,40.77061648381733,-73.98609091132629
91,40.74233552982122,-73.97997092173449
